종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%)
218410,RFHIC,"35,400",350,1.0,"442,407","15,658,327,850","35,800","35,850","35,000","844,205,748,000",0.05,"23,847,620","1,069,604",4.49
039200,오스코텍,"28,600",-100,-0.4,"521,192","14,967,254,100","28,700","29,500","28,200","835,128,894,600",0.05,"29,200,311","1,932,965",6.62
213420,덕산네오룩스,"34,750","2,850",8.9,"1,083,266","36,957,072,150","33,150","34,950","32,900","834,347,917,000",0.05,"24,010,012","4,731,996",19.71
082270,젬백스,"21,200",-150,-0.7,"309,472","6,511,662,650","21,150","21,300","20,850","832,341,743,600",0.05,"39,261,403","2,262,067",5.76
114090,GKL,"13,350",-200,-1.5,"346,336","4,639,876,200","13,600","13,600","13,250","825,773,194,500",0.05,"61,855,670","3,993,973",6.46
183490,엔지켐생명과학,"99,700","1,500",1.5,"536,243","54,695,511,300","101,500","105,700","99,400","819,983,447,600",0.05,"8,224,508","853,878",10.38
214370,케어젠,"75,900","-2,200",-2.8,"63,039","4,785,337,400","77,100","78,800","74,600","815,393,700,000",0.05,"10,743,000","658,935",6.13
003240,태광산업,"731,000","-14,000",-1.9,"1,226","905,366,500","736,000","745,000","731,000","813,895,400,000",0.05,"1,113,400","110,418",9.92
307950,현대오토에버,"38,750",-650,-1.6,"34,651","1,361,786,200","38,950","40,350","38,600","813,750,000,000",0.05,"21,000,000","255,196",1.22
057050,현대홈쇼핑,"67,800","-1,600",-2.3,"29,768","2,020,962,800","68,200","68,600","67,500","813,600,000,000",0.05,"12,000,000","2,924,033",24.37
036540,SFA반도체,"4,940",5,0.1,"1,486,164","7,347,746,525","4,885","5,040","4,855","812,433,896,820",0.05,"164,460,303","9,057,816",5.51
170900,동아에스티,"95,300","1,000",1.1,"36,794","3,513,435,600","94,500","96,900","94,400","804,700,620,400",0.05,"8,443,868","2,228,384",26.39
